index,recorded_ns,header_ns,interval_ns
116,1789458578022347311,1789458578002007000,33365000
117,1789458578055509221,1789458578035375000,33368000
118,1789458578089673406,1789458578068740000,33365000
119,1789458578122212631,1789458578102108000,33368000
120,1789458578155909396,1789458578135474000,33366000
121,1789458578189163634,1789458578168839000,33365000
122,1789458578222143874,1789458578202206000,33367000
123,1789458578255761604,1789458578235573000,33367000
124,1789458578290121213,1789458578268946000,33373000
125,1789458578322859658,1789458578302314000,33368000
126,1789458578355527614,1789458578335679000,33365000
127,1789458578389595423,1789458578369046000,33367000
128,1789458578423242303,1789458578402416000,33370000
129,1789458578456146493,1789458578435782000,33366000
130,1789458578490478615,1789458578469147000,33365000
131,1789458578522877249,1789458578502514000,33367000
132,1789458578556395379,1789458578535881000,33367000
133,1789458578589841155,1789458578569249000,33368000
134,1789458578623325476,1789458578602614000,33365000
135,1789458578657521676,1789458578635987000,33373000
136,1789458578689522300,1789458578669354000,33367000
137,1789458578723354086,1789458578702723000,33369000
138,1789458578756790065,1789458578736090000,33367000
139,1789458578789922094,1789458578769456000,33366000
140,1789458578823046981,1789458578802821000,33365000
141,1789458578856526425,1789458578836188000,33367000
142,1789458578889962374,1789458578869556000,33368000
143,1789458578923469405,1789458578902922000,33366000
144,1789458578957010994,1789458578936289000,33367000
145,1789458578989629375,1789458578969654000,33365000
146,1789458579023399488,1789458579003020000,33366000
147,1789458579056584527,1789458579036386000,33366000
148,1789458579089861894,1789458579069754000,33368000
149,1789458579123039720,1789458579103119000,33365000
150,1789458579156590335,1789458579136485000,33366000
151,1789458579190670967,1789458579169857000,33372000
152,1789458579223319527,1789458579203224000,33367000
153,1789458579256533486,1789458579236590000,33366000
154,1789458579290014682,1789458579269957000,33367000
155,1789458579323600597,1789458579303322000,33365000
156,1789458579357101646,1789458579336687000,33365000
157,1789458579391014471,1789458579370059000,33372000
158,1789458579423457099,1789458579403424000,33365000
159,1789458579457047492,1789458579436790000,33366000
160,1789458579490690454,1789458579470155000,33365000
161,1789458579523835735,1789458579503521000,33366000
162,1789458579557157748,1789458579536888000,33367000
163,1789458579590312565,1789458579570252000,33364000
164,1789458579623660734,1789458579603619000,33367000
165,1789458579657009813,1789458579636985000,33366000
166,1789458579690751996,1789458579670351000,33366000
167,1789458579723924023,1789458579703717000,33366000
168,1789458579757648525,1789458579737082000,33365000
169,1789458579790838352,1789458579770448000,33366000
170,1789458579824246232,1789458579803813000,33365000
171,1789458579857789214,1789458579837181000,33368000
172,1789458579891104976,1789458579870547000,33366000
173,1789458579924404892,1789458579903912000,33365000
174,1789458579958004210,1789458579937281000,33369000
175,1789458579991162433,1789458579970649000,33368000
176,1789458580024076973,1789458580004016000,33367000
177,1789458580057718943,1789458580037381000,33365000
178,1789458580090986923,1789458580070748000,33367000
179,1789458580125060833,1789458580104116000,33368000
180,1789458580158198148,1789458580137481000,33365000
181,1789458580191777391,1789458580170849000,33368000
182,1789458580225142467,1789458580204215000,33366000
183,1789458580258855379,1789458580237580000,33365000
184,1789458580291245093,1789458580270949000,33369000
185,1789458580324990581,1789458580304316000,33367000
186,1789458580358167084,1789458580337681000,33365000
187,1789458580392325980,1789458580371053000,33372000
188,1789458580424952280,1789458580404419000,33366000
189,1789458580458488749,1789458580437783000,33364000
190,1789458580491596694,1789458580471152000,33369000
191,1789458580524495722,1789458580504518000,33366000
192,1789458580558387560,1789458580537882000,33364000
193,1789458580591659436,1789458580571249000,33367000
194,1789458580624943293,1789458580604616000,33367000
195,1789458580658421102,1789458580637981000,33365000
196,1789458580691628929,1789458580671349000,33368000
197,1789458580725471673,1789458580704717000,33368000
198,1789458580758371782,1789458580738085000,33368000
199,1789458580792183944,1789458580771453000,33368000
200,1789458580825334462,1789458580804818000,33365000
201,1789458580858257901,1789458580838185000,33367000
202,1789458580892131218,1789458580871554000,33369000
203,1789458580925165127,1789458580904920000,33366000
204,1789458580958622581,1789458580938287000,33367000
205,1789458580991904805,1789458580971653000,33366000
206,1789458581025442532,1789458581005020000,33367000
207,1789458581059168756,1789458581038388000,33368000
208,1789458581092651662,1789458581071758000,33370000
209,1789458581125454362,1789458581105124000,33366000
210,1789458581158836005,1789458581138492000,33368000
211,1789458581192206539,1789458581171856000,33364000
212,1789458581225916985,1789458581205226000,33370000
213,1789458581258580827,1789458581238593000,33367000
214,1789458581292446119,1789458581271960000,33367000
215,1789458581325837799,1789458581305328000,33368000
216,1789458581358822170,1789458581338695000,33367000
217,1789458581392300830,1789458581372062000,33367000
218,1789458581425741343,1789458581405429000,33367000
219,1789458581459432888,1789458581438797000,33368000
220,1789458581491904029,1789458581472164000,33367000
221,1789458581525431502,1789458581505529000,33365000
222,1789458581559145394,1789458581538896000,33367000
223,1789458581592294818,1789458581572261000,33365000
224,1789458581626312121,1789458581605630000,33369000
225,1789458581659117165,1789458581638997000,33367000
226,1789458581692547742,1789458581672363000,33366000
227,1789458581725785678,1789458581705729000,33366000
228,1789458581759814501,1789458581739096000,33367000
229,1789458581792721359,1789458581772462000,33366000
230,1789458581825960848,1789458581805829000,33367000
231,1789458581859427757,1789458581839194000,33365000
232,1789458581893123989,1789458581872561000,33367000
233,1789458581926545260,1789458581905927000,33366000
234,1789458581959931721,1789458581939294000,33367000
235,1789458581993374999,1789458581972661000,33367000
236,1789458582026310472,1789458582006026000,33365000
237,1789458582059670666,1789458582039394000,33368000
238,1789458582093131122,1789458582072759000,33365000
239,1789458582126257765,1789458582106125000,33366000
240,1789458582159490481,1789458582139492000,33367000
241,1789458582193107205,1789458582172857000,33365000
242,1789458582226652827,1789458582206223000,33366000
243,1789458582259316987,1789458582239590000,33367000
244,1789458582293416750,1789458582272955000,33365000
245,1789458582326749347,1789458582306322000,33367000
246,1789458582359792707,1789458582339687000,33365000
247,1789458582393815759,1789458582373057000,33370000
248,1789458582426497238,1789458582406423000,33366000
249,1789458582460116167,1789458582439791000,33368000
250,1789458582494748574,1789458582473164000,33373000
251,1789458582526592256,1789458582506530000,33366000
252,1789458582560976428,1789458582539898000,33368000
253,1789458582593574153,1789458582573264000,33366000
254,1789458582626518904,1789458582606631000,33367000
255,1789458582660452162,1789458582639997000,33366000
256,1789458582693159495,1789458582673363000,33366000
257,1789458582727000264,1789458582706729000,33366000
258,1789458582760633046,1789458582740097000,33368000
259,1789458582793843083,1789458582773462000,33365000
260,1789458582827008462,1789458582806830000,33368000
261,1789458582860323709,1789458582840195000,33365000
262,1789458582893854226,1789458582873562000,33367000
263,1789458582927317918,1789458582906929000,33367000
264,1789458582961292677,1789458582940298000,33369000
265,1789458582994384259,1789458582973665000,33367000
266,1789458583028077694,1789458583007036000,33371000
267,1789458583060592694,1789458583040402000,33366000
268,1789458583094243295,1789458583073768000,33366000
269,1789458583128095733,1789458583107137000,33369000
270,1789458583160579789,1789458583140504000,33367000
271,1789458583195260629,1789458583173869000,33365000
272,1789458583227534595,1789458583207235000,33366000
273,1789458583261254665,1789458583240605000,33370000
274,1789458583294365078,1789458583273972000,33367000
275,1789458583327724218,1789458583307338000,33366000
276,1789458583360720986,1789458583340704000,33366000
277,1789458583395269168,1789458583374078000,33374000
278,1789458583427806978,1789458583407445000,33367000
279,1789458583461200897,1789458583440811000,33366000
280,1789458583494309877,1789458583474178000,33367000
281,1789458583528000787,1789458583507547000,33369000
282,1789458583561375474,1789458583540912000,33365000
283,1789458583594750511,1789458583574279000,33367000
284,1789458583628461746,1789458583607648000,33369000
285,1789458583661489768,1789458583641014000,33366000
286,1789458583694718253,1789458583674379000,33365000
287,1789458583727933997,1789458583707748000,33369000
288,1789458583760981001,1789458583741114000,33366000
289,1789458583794859323,1789458583774482000,33368000
290,1789458583828369723,1789458583807849000,33367000
291,1789458583861047402,1789458583841214000,33365000
292,1789458583894638561,1789458583874581000,33367000
293,1789458583927903488,1789458583907946000,33365000
294,1789458583961825545,1789458583941317000,33371000
295,1789458583995048691,1789458583974683000,33366000
296,1789458584028040909,1789458584008050000,33367000
297,1789458584061502993,1789458584041415000,33365000
298,1789458584095287892,1789458584074782000,33367000
299,1789458584128496090,1789458584108148000,33366000
300,1789458584161978569,1789458584141515000,33367000
301,1789458584195046035,1789458584174881000,33366000
302,1789458584228356068,1789458584208247000,33366000
303,1789458584261742743,1789458584241615000,33368000
304,1789458584294919978,1789458584274982000,33367000
305,1789458584328261996,1789458584308347000,33365000
306,1789458584362133504,1789458584341715000,33368000
307,1789458584395451541,1789458584375080000,33365000
308,1789458584428694017,1789458584408446000,33366000
309,1789458584462281838,1789458584441813000,33367000
310,1789458584495204144,1789458584475181000,33368000
311,1789458584528585820,1789458584508546000,33365000
312,1789458584561940931,1789458584541913000,33367000
313,1789458584595586410,1789458584575280000,33367000
314,1789458584629148496,1789458584608646000,33366000
315,1789458584662167269,1789458584642012000,33366000
316,1789458584696163601,1789458584675382000,33370000
317,1789458584728939726,1789458584708750000,33368000
318,1789458584762465700,1789458584742117000,33367000
319,1789458584795759155,1789458584775483000,33366000
320,1789458584829372930,1789458584808849000,33366000
321,1789458584862399806,1789458584842216000,33367000
322,1789458584896115316,1789458584875584000,33368000
323,1789458584928979422,1789458584908950000,33366000
324,1789458584962537101,1789458584942316000,33366000
325,1789458584996362099,1789458584975683000,33367000
326,1789458585029631002,1789458585009051000,33368000
327,1789458585062550169,1789458585042416000,33365000
328,1789458585095919932,1789458585075783000,33367000
329,1789458585129473470,1789458585109149000,33366000
330,1789458585162938657,1789458585142516000,33367000
331,1789458585196412228,1789458585175882000,33366000
332,1789458585229723671,1789458585209248000,33366000
333,1789458585263045311,1789458585242615000,33367000
334,1789458585296249077,1789458585275981000,33366000
335,1789458585329629989,1789458585309347000,33366000
336,1789458585363313271,1789458585342716000,33369000
337,1789458585396101143,1789458585376082000,33366000
338,1789458585429956911,1789458585409448000,33366000
339,1789458585462884733,1789458585442814000,33366000
340,1789458585496602815,1789458585476182000,33368000
341,1789458585529559617,1789458585509548000,33366000
342,1789458585562957097,1789458585542915000,33367000
343,1789458585597065741,1789458585576282000,33367000
344,1789458585629897268,1789458585609648000,33366000
345,1789458585663582633,1789458585643015000,33367000
346,1789458585696391901,1789458585676382000,33367000
347,1789458585730342012,1789458585709749000,33367000
348,1789458585763107255,1789458585743116000,33367000
349,1789458585796375664,1789458585776482000,33366000
350,1789458585830660370,1789458585809853000,33371000
351,1789458585863095485,1789458585843218000,33365000
352,1789458585896523778,1789458585876585000,33367000
353,1789458585929965474,1789458585909952000,33367000
354,1789458585963123963,1789458585943318000,33366000
355,1789458585996754294,1789458585976684000,33366000
356,1789458586030020429,1789458586010050000,33366000
357,1789458586063734802,1789458586043417000,33367000
358,1789458586096647745,1789458586076784000,33367000
359,1789458586130493383,1789458586110150000,33366000
360,1789458586163601071,1789458586143518000,33368000
361,1789458586197143839,1789458586176885000,33367000
362,1789458586230870953,1789458586210255000,33370000
363,1789458586264046658,1789458586243621000,33366000
364,1789458586296846085,1789458586276988000,33367000
365,1789458586330922622,1789458586310357000,33369000
366,1789458586364716531,1789458586343729000,33372000
367,1789458586397467354,1789458586377095000,33366000
368,1789458586431541156,1789458586410462000,33367000
369,1789458586464647602,1789458586443832000,33370000
370,1789458586498429971,1789458586477199000,33367000
371,1789458586530787568,1789458586510565000,33366000
372,1789458586564508442,1789458586543931000,33366000
373,1789458586597642956,1789458586577298000,33367000
374,1789458586630885877,1789458586610666000,33368000
375,1789458586663976846,1789458586644033000,33367000
376,1789458586697350542,1789458586677400000,33367000
377,1789458586731451620,1789458586710769000,33369000
378,1789458586764691065,1789458586744135000,33366000
379,1789458586797884480,1789458586777503000,33368000
380,1789458586830670134,1789458586810869000,33366000
381,1789458586864792719,1789458586844235000,33366000
382,1789458586898228612,1789458586877601000,33366000
383,1789458586931291333,1789458586910969000,33368000
384,1789458586964749104,1789458586944334000,33365000
385,1789458586998258814,1789458586977702000,33368000
386,1789458587031114180,1789458587011068000,33366000
387,1789458587065103594,1789458587044435000,33367000
388,1789458587097963811,1789458587077801000,33366000
389,1789458587130955064,1789458587111169000,33368000
390,1789458587165016381,1789458587144535000,33366000
391,1789458587197976781,1789458587177901000,33366000
392,1789458587231428899,1789458587211267000,33366000
393,1789458587265198273,1789458587244635000,33368000
394,1789458587298078395,1789458587278000000,33365000
395,1789458587331742878,1789458587311367000,33367000
396,1789458587364760617,1789458587344735000,33368000
397,1789458587398087158,1789458587378101000,33366000
398,1789458587431574646,1789458587411467000,33366000
399,1789458587465128379,1789458587444834000,33367000
400,1789458587498624482,1789458587478200000,33366000
401,1789458587531517265,1789458587511568000,33368000
402,1789458587565026812,1789458587544934000,33366000
403,1789458587598440102,1789458587578301000,33367000
404,1789458587631676438,1789458587611667000,33366000
405,1789458587664928140,1789458587645034000,33367000
406,1789458587698980872,1789458587678402000,33368000
407,1789458587732359293,1789458587711768000,33366000
408,1789458587765229427,1789458587745135000,33367000
409,1789458587798750233,1789458587778502000,33367000
410,1789458587832203803,1789458587811868000,33366000
411,1789458587865185950,1789458587845235000,33367000
412,1789458587898680050,1789458587878602000,33367000
413,1789458587932015697,1789458587911968000,33366000
414,1789458587965866051,1789458587945335000,33367000
415,1789458587999037284,1789458587978702000,33367000
416,1789458588032476301,1789458588012069000,33367000
417,1789458588065919098,1789458588045435000,33366000
418,1789458588099434401,1789458588078802000,33367000
419,1789458588132725437,1789458588112170000,33368000
420,1789458588166240488,1789458588145536000,33366000
421,1789458588199274601,1789458588178903000,33367000
422,1789458588232729649,1789458588212270000,33367000
423,1789458588266953012,1789458588245637000,33367000
424,1789458588299374358,1789458588279003000,33366000
425,1789458588332807078,1789458588312372000,33369000
426,1789458588366132072,1789458588345739000,33367000
427,1789458588399384481,1789458588379106000,33367000
428,1789458588433374823,1789458588412475000,33369000
429,1789458588466571446,1789458588445845000,33370000
430,1789458588499750188,1789458588479211000,33366000
431,1789458588532782758,1789458588512577000,33366000
432,1789458588566655136,1789458588545945000,33368000
433,1789458588599381217,1789458588579312000,33367000
434,1789458588632863222,1789458588612680000,33368000
435,1789458588666747842,1789458588646046000,33366000
436,1789458588699808370,1789458588679414000,33368000
437,1789458588733195511,1789458588712783000,33369000
438,1789458588766139648,1789458588746151000,33368000
439,1789458588799896317,1789458588779518000,33367000
440,1789458588834016512,1789458588812890000,33372000
441,1789458588866321177,1789458588846256000,33366000
442,1789458588900221634,1789458588879628000,33372000
443,1789458588933867160,1789458588912995000,33367000
444,1789458588966179668,1789458588946361000,33366000
445,1789458588999674385,1789458588979727000,33366000
446,1789458589033498785,1789458589013095000,33368000
447,1789458589067075870,1789458589046461000,33366000
448,1789458589099802066,1789458589079828000,33367000
449,1789458589133593301,1789458589113195000,33367000
450,1789458589167572029,1789458589146567000,33372000
451,1789458589200011981,1789458589179933000,33366000
452,1789458589233650371,1789458589213301000,33368000
453,1789458589267387462,1789458589246668000,33367000
454,1789458589299851285,1789458589280035000,33367000
455,1789458589333701781,1789458589313402000,33367000
456,1789458589367021933,1789458589346770000,33368000
457,1789458589400377956,1789458589380139000,33369000
458,1789458589433433571,1789458589413506000,33367000
459,1789458589467048851,1789458589446873000,33367000
460,1789458589500420061,1789458589480240000,33367000
461,1789458589533944665,1789458589513608000,33368000
462,1789458589567254258,1789458589546973000,33365000
463,1789458589600192450,1789458589580342000,33369000
464,1789458589633701527,1789458589613708000,33366000
465,1789458589667168802,1789458589647076000,33368000
466,1789458589700339996,1789458589680442000,33366000
467,1789458589734205790,1789458589713810000,33368000
468,1789458589767057823,1789458589747176000,33366000
469,1789458589800971468,1789458589780543000,33367000
470,1789458589834167595,1789458589813910000,33367000
471,1789458589867456563,1789458589847277000,33367000
472,1789458589901005609,1789458589880643000,33366000
473,1789458589933883317,1789458589914011000,33368000
474,1789458589967467764,1789458589947377000,33366000
475,1789458590000718386,1789458589980744000,33367000
476,1789458590034260245,1789458590014111000,33367000
477,1789458590067765291,1789458590047478000,33367000
478,1789458590101420846,1789458590080845000,33367000
479,1789458590134348785,1789458590114213000,33368000
480,1789458590168590043,1789458590147582000,33369000
481,1789458590201172705,1789458590180949000,33367000
482,1789458590234282869,1789458590214317000,33368000
483,1789458590268142748,1789458590247683000,33366000
484,1789458590301054288,1789458590281050000,33367000
485,1789458590334979880,1789458590314417000,33367000
486,1789458590368425874,1789458590347786000,33369000
487,1789458590401449498,1789458590381153000,33367000
488,1789458590434984966,1789458590414520000,33367000
489,1789458590467820205,1789458590447886000,33366000
490,1789458590501098960,1789458590481253000,33367000
491,1789458590535096166,1789458590514621000,33368000
492,1789458590568403690,1789458590547989000,33368000
493,1789458590601470309,1789458590581356000,33367000
494,1789458590635406990,1789458590614722000,33366000
495,1789458590668453324,1789458590648088000,33366000
496,1789458590701586076,1789458590681456000,33368000
497,1789458590734729027,1789458590714823000,33367000
498,1789458590768578758,1789458590748191000,33368000
499,1789458590801902330,1789458590781558000,33367000
500,1789458590835362077,1789458590814926000,33368000
501,1789458590868454571,1789458590848292000,33366000
502,1789458590901884938,1789458590881659000,33367000
503,1789458590935225239,1789458590915025000,33366000
504,1789458590968843259,1789458590948396000,33371000
505,1789458591001768735,1789458590981762000,33366000
506,1789458591035946299,1789458591015131000,33369000
507,1789458591069112934,1789458591048501000,33370000
508,1789458591101762156,1789458591081868000,33367000
509,1789458591135695186,1789458591115235000,33367000
510,1789458591168968276,1789458591148603000,33368000
511,1789458591201721197,1789458591181970000,33367000
512,1789458591235416126,1789458591215337000,33367000
513,1789458591268591316,1789458591248705000,33368000
514,1789458591302696204,1789458591282071000,33366000
515,1789458591336225737,1789458591315439000,33368000
516,1789458591368837484,1789458591348806000,33367000
517,1789458591402640519,1789458591382175000,33369000
518,1789458591436137807,1789458591415541000,33366000
519,1789458591468961740,1789458591448909000,33368000
520,1789458591502100408,1789458591482275000,33366000
521,1789458591536123394,1789458591515643000,33368000
522,1789458591569378272,1789458591549010000,33367000
523,1789458591602703121,1789458591582379000,33369000
524,1789458591636503532,1789458591615749000,33370000
525,1789458591669316867,1789458591649117000,33368000
526,1789458591702821077,1789458591682484000,33367000
527,1789458591736215516,1789458591715851000,33367000
528,1789458591769772797,1789458591749219000,33368000
529,1789458591802998495,1789458591782587000,33368000
530,1789458591836598730,1789458591815953000,33366000
531,1789458591869798834,1789458591849323000,33370000
532,1789458591903239884,1789458591882691000,33368000
533,1789458591936508797,1789458591916059000,33368000
534,1789458591969713548,1789458591949426000,33367000
535,1789458592002957661,1789458591982793000,33367000
536,1789458592036438454,1789458592016160000,33367000
537,1789458592070714273,1789458592049531000,33371000
538,1789458592103398889,1789458592082897000,33366000
539,1789458592136422120,1789458592116266000,33369000
540,1789458592170197133,1789458592149634000,33368000
541,1789458592203093205,1789458592183002000,33368000
542,1789458592236906644,1789458592216369000,33367000
543,1789458592270605504,1789458592249740000,33371000
544,1789458592303257724,1789458592283108000,33368000
545,1789458592337126179,1789458592316475000,33367000
546,1789458592370401226,1789458592349842000,33367000
547,1789458592403874767,1789458592383209000,33367000
548,1789458592437499189,1789458592416575000,33366000
549,1789458592470427125,1789458592449947000,33372000
550,1789458592503441983,1789458592483316000,33369000
551,1789458592536661293,1789458592516682000,33366000
552,1789458592570395846,1789458592550049000,33367000
553,1789458592603938056,1789458592583416000,33367000
554,1789458592637483821,1789458592616785000,33369000
555,1789458592670546922,1789458592650152000,33367000
556,1789458592703598874,1789458592683521000,33369000
557,1789458592737210343,1789458592716887000,33366000
558,1789458592770747664,1789458592750256000,33369000
559,1789458592804118878,1789458592783623000,33367000
560,1789458592837061641,1789458592816991000,33368000
561,1789458592870964614,1789458592850358000,33367000
562,1789458592904152100,1789458592883726000,33368000
563,1789458592938228494,1789458592917095000,33369000
564,1789458592971048815,1789458592950464000,33369000
565,1789458593003815537,1789458592983831000,33367000
566,1789458593038006755,1789458593017199000,33368000
567,1789458593071471085,1789458593050566000,33367000
568,1789458593104263010,1789458593083934000,33368000
569,1789458593138018453,1789458593117301000,33367000
570,1789458593171049001,1789458593150670000,33369000
571,1789458593204054506,1789458593184038000,33368000
572,1789458593238614482,1789458593217403000,33365000
573,1789458593271633410,1789458593250774000,33371000
574,1789458593304537048,1789458593284143000,33369000
575,1789458593338096452,1789458593317511000,33368000
576,1789458593371213480,1789458593350878000,33367000
577,1789458593404649551,1789458593384244000,33366000
578,1789458593438034382,1789458593417612000,33368000
579,1789458593471364779,1789458593450980000,33368000
580,1789458593504742338,1789458593484348000,33368000
581,1789458593538280786,1789458593517718000,33370000
582,1789458593572245301,1789458593551085000,33367000
583,1789458593605024514,1789458593584456000,33371000
584,1789458593638288296,1789458593617823000,33367000
585,1789458593671642114,1789458593651190000,33367000
586,1789458593704932031,1789458593684559000,33369000
587,1789458593738777470,1789458593717926000,33367000
588,1789458593771835916,1789458593751294000,33368000
589,1789458593805265105,1789458593784661000,33367000
590,1789458593838468201,1789458593818028000,33367000
591,1789458593872007130,1789458593851396000,33368000
592,1789458593905382435,1789458593884763000,33367000
593,1789458593938220239,1789458593918131000,33368000
594,1789458593971485644,1789458593951498000,33367000
595,1789458594005255757,1789458593984866000,33368000
596,1789458594039101171,1789458594018233000,33367000
597,1789458594072013407,1789458594051602000,33369000
598,1789458594104846617,1789458594084968000,33366000
599,1789458594138472710,1789458594118336000,33368000
600,1789458594171440874,1789458594151703000,33367000
601,1789458594205461330,1789458594185069000,33366000
602,1789458594238445251,1789458594218437000,33368000
603,1789458594272798124,1789458594251807000,33370000
604,1789458594305375931,1789458594285175000,33368000
605,1789458594338851974,1789458594318542000,33367000
606,1789458594371810822,1789458594351910000,33368000
607,1789458594406010739,1789458594385279000,33369000
608,1789458594439280505,1789458594418645000,33366000
609,1789458594472012910,1789458594452013000,33368000
610,1789458594505836496,1789458594485380000,33367000
611,1789458594539160857,1789458594518747000,33367000
612,1789458594572239802,1789458594552115000,33368000
613,1789458594605508536,1789458594585483000,33368000
614,1789458594639314231,1789458594618849000,33366000
615,1789458594672581172,1789458594652218000,33369000
616,1789458594705523841,1789458594685585000,33367000
617,1789458594738961799,1789458594718951000,33366000
618,1789458594772290387,1789458594752319000,33368000
619,1789458594805985119,1789458594785686000,33367000
620,1789458594839597368,1789458594819055000,33369000
621,1789458594872759428,1789458594852422000,33367000
622,1789458594905860071,1789458594885790000,33368000
623,1789458594940659317,1789458594919156000,33366000
624,1789458594972696147,1789458594952525000,33369000
625,1789458595006134582,1789458594985891000,33366000
626,1789458595039118325,1789458595019258000,33367000
627,1789458595072515586,1789458595052625000,33367000
628,1789458595106514510,1789458595085993000,33368000
629,1789458595139280746,1789458595119359000,33366000
630,1789458595172572042,1789458595152726000,33367000
631,1789458595206574823,1789458595186093000,33367000
632,1789458595240255404,1789458595219464000,33371000
633,1789458595272898868,1789458595252831000,33367000
634,1789458595306184745,1789458595286198000,33367000
